@relation 'city_day-weka.filters.unsupervised.attribute.Remove-R2,15-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R14-15-weka.filters.unsupervised.attribute.NumericTransform-R8,11-12-Cjava.lang.Math-Mlog-weka.filters.unsupervised.attribute.NumericTransform-R2-7,9-10-Cjava.lang.Math-Mcbrt-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.instance.SpreadSubsample-M-1.0-X0.0-S1'

@attribute City {Ahmedabad,Aizawl,Amaravati,Amritsar,Bengaluru,Bhopal,Brajrajnagar,Chandigarh,Chennai,Coimbatore,Delhi,Ernakulam,Gurugram,Guwahati,Hyderabad,Jaipur,Jorapokhar,Kochi,Kolkata,Lucknow,Mumbai,Patna,Shillong,Talcher,Thiruvananthapuram,Visakhapatnam}
@attribute PM2.5 numeric
@attribute PM10 numeric
@attribute NO numeric
@attribute NO2 numeric
@attribute NOx numeric
@attribute NH3 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute O3 numeric
@attribute Benzene numeric
@attribute Toluene numeric
@attribute AQI_Bucket {Poor,'Very Poor',Severe,Moderate,Satisfactory,Good}

@data
Lucknow,0.469639,0.489155,0.220163,0.303026,0.223451,0.388686,0.491481,0.27695,0.645754,0.373626,0.532125,Poor
Visakhapatnam,0.485198,0.571068,0.274678,0.517959,0.465489,0.328921,0.488071,0.491472,0.603977,0.6129,0.69442,Poor
Ahmedabad,0.339587,0.489155,0.251118,0.463351,0.474113,0.388686,0.694208,0.413365,0.496534,?,?,Poor
Talcher,0.43097,0.677456,0.307236,0.209589,0.355265,0.238982,0.384794,0.486936,0.352802,0.545059,0.639541,Poor
Visakhapatnam,0.452501,0.538036,0.179907,0.371762,0.338343,0.315066,0.459216,0.259289,0.790163,0.576003,0.628699,Poor
Patna,0.45515,0.489155,0.244049,0.347242,0.296107,0.388686,0.504089,0.616993,0.669861,0.320169,0.536364,Poor
Delhi,0.497955,0.663838,0.520927,0.549567,0.621406,0.472795,0.539984,0.517903,0.590892,0.604313,0.782447,Poor
Patna,0.496274,0.545506,0.335013,0.439163,0.50606,0.466311,0.483641,0.309653,0.382257,0.502453,0.431227,Poor
Ahmedabad,0.454629,0.489155,0.175975,0.371575,0.40226,0.388686,0.604155,0.690374,0.546406,0.590154,0.682001,Poor
Brajrajnagar,0.480095,0.575915,0.367299,0.400275,0.49379,0.546651,0.572754,0.40466,0.284029,0.696437,0.639541,Poor
Visakhapatnam,0.524044,0.645522,0.28214,0.49099,0.451184,0.386096,0.483641,0.468427,0.586505,0.60097,0.687777,Poor
Lucknow,0.500711,0.489155,0.517439,0.579042,0.596776,0.422438,0.418877,0.409305,0.520634,?,?,Poor
Gurugram,0.469465,0.690909,0.477466,0.256208,0.520216,0.388686,0.366616,0.189742,0.552326,?,?,Poor
Ahmedabad,0.395399,0.51705,0.252447,0.366599,0.354425,0.388686,0.695586,0.577975,0.431812,0.561373,0.749982,Poor
Brajrajnagar,0.398101,0.579535,0.327382,0.413158,0,0.388686,?,0.403257,0.496534,?,0.639541,Poor
Talcher,0.439054,0.672388,0.2605,0.442064,0.479501,0.388686,0.57161,0.440731,0.351751,?,0.639541,Poor
Patna,0.449462,0.489155,0.21066,0.185068,0.287943,0.388686,0.572754,0.414638,0.492067,0.307289,0.430309,Poor
Delhi,0.415977,0.515683,0.261022,0.420852,0.467392,0.498823,0.471138,0.358494,0.64532,0.533945,0.598896,Poor
Ahmedabad,0.365797,0.489155,0.282686,0.31905,0.412612,0.388686,0.725359,0.422504,0.251705,0.622541,0.673899,Poor
Visakhapatnam,0.418558,0.516228,0.177762,0.466345,0.402641,0.321423,0.427066,0.432563,0.730086,0.544555,0.592474,Poor
Gurugram,0.465665,0.704881,0.318284,0.352317,0.435307,0.388686,0.44958,0.204495,0.582093,?,?,Poor
Gurugram,0.479212,0.770061,0.640607,0.589669,0.699881,0.388686,0.398158,0.367564,0.484527,?,?,Poor
Lucknow,0.485183,0.489155,0.436251,0.564385,0.254569,0.388686,0.590773,0.222729,0.563782,0.505386,0.589341,Poor
Gurugram,0.458633,0.489155,0.095556,0.229634,0.286983,0.388686,0.550397,0.488745,0.522993,0.545059,0.639541,Poor
Ahmedabad,0.28466,0.489155,0.282867,0.236569,0.364783,0.388686,0.72553,0.432292,0.346799,0.45017,0.588499,Poor
Gurugram,0.453668,0.489155,0.327382,0.413158,0.440314,0.388686,0.404237,0.212044,0.433777,0.545059,0.639541,Poor
Kolkata,0.440485,0.560952,0.361659,0.510186,0.584396,0.364948,0.444398,0.396977,0.504716,0.706026,0.716906,Poor
Delhi,0.468766,0.669883,0.325101,0.480068,0.490185,0.488025,0.454511,0.395386,0.636501,0.486217,0.557228,Poor
Gurugram,0.485302,0.63432,0.391535,0.378606,0.485183,0.388686,0.511246,0.323775,0.450224,0.545059,0.639541,Poor
Lucknow,0.432229,0.489155,0.436125,0.446218,0.223451,0.388686,0.508443,0.322551,0.699827,0.470826,0.540134,Poor
Kolkata,0.429705,0.556201,0.557983,0.504339,0.683412,0.395911,0.511246,0.342892,0.49098,0.759643,0.783519,Poor
Talcher,0.449651,0.627035,0.491639,0.413158,0.461344,0.31394,0.568102,0.468193,0.270657,0.545059,0.639541,Poor
Delhi,0.419106,0.52336,0.276293,0.441026,0.487122,0.515854,0.570454,0.318669,0.593843,0.533336,0.630442,Poor
